,percentage_samples,score,strategy,repetition
27,50,0.5068337129840547,entropy_sampling,3
28,60,0.505125284738041,entropy_sampling,3
29,70,0.5279043280182233,entropy_sampling,3
30,80,0.532744874715262,entropy_sampling,3
31,90,0.520501138952164,entropy_sampling,3
32,100,0.5125284738041003,entropy_sampling,3
33,1,0.1585990888382688,margin_sampling,3
34,10,0.34538724373576307,margin_sampling,3
35,20,0.3994874715261959,margin_sampling,3
36,30,0.4461845102505695,margin_sampling,3
37,40,0.4843394077448747,margin_sampling,3
38,50,0.49658314350797267,margin_sampling,3
39,60,0.5108200455580866,margin_sampling,3
40,70,0.515375854214123,margin_sampling,3
41,80,0.5298974943052391,margin_sampling,3
42,90,0.5301822323462415,margin_sampling,3
43,100,0.5324601366742597,margin_sampling,3
0,1,0.15034168564920272,random,4
1,10,0.33826879271070615,random,4
2,20,0.41429384965831434,random,4
3,30,0.43137813211845105,random,4
4,40,0.46554669703872437,random,4
5,50,0.4803530751708428,random,4
6,60,0.4832004555808656,random,4
7,70,0.5022779043280182,random,4
8,80,0.5045558086560364,random,4
9,90,0.520501138952164,random,4
10,100,0.5236332574031891,random,4
11,1,0.14550113895216402,uncertainty_sampling,4
12,10,0.34225512528473806,uncertainty_sampling,4
13,20,0.40034168564920275,uncertainty_sampling,4
14,30,0.44533029612756264,uncertainty_sampling,4
15,40,0.4701025056947608,uncertainty_sampling,4
16,50,0.489749430523918,uncertainty_sampling,4
17,60,0.5048405466970387,uncertainty_sampling,4
18,70,0.5062642369020501,uncertainty_sampling,4
19,80,0.5276195899772209,uncertainty_sampling,4
20,90,0.5242027334851936,uncertainty_sampling,4
21,100,0.5310364464692483,uncertainty_sampling,4
22,1,0.14236902050113895,entropy_sampling,4
23,10,0.3402619589977221,entropy_sampling,4
24,20,0.40119589977220954,entropy_sampling,4
25,30,0.44048974943052394,entropy_sampling,4
26,40,0.47266514806378135,entropy_sampling,4
27,50,0.4843394077448747,entropy_sampling,4
28,60,0.5125284738041003,entropy_sampling,4
29,70,0.5142369020501139,entropy_sampling,4
30,80,0.5267653758542141,entropy_sampling,4
31,90,0.5276195899772209,entropy_sampling,4
32,100,0.5273348519362187,entropy_sampling,4
33,1,0.1480637813211845,margin_sampling,4
34,10,0.3636104783599089,margin_sampling,4
35,20,0.4125854214123007,margin_sampling,4
36,30,0.44533029612756264,margin_sampling,4
37,40,0.46440774487471526,margin_sampling,4
38,50,0.489749430523918,margin_sampling,4
39,60,0.4960136674259681,margin_sampling,4
40,70,0.5190774487471527,margin_sampling,4
41,80,0.5236332574031891,margin_sampling,4
42,90,0.5355922551252847,margin_sampling,4
43,100,0.535876993166287,margin_sampling,4
0,1,0.15546697038724375,random,5
1,10,0.35136674259681094,random,5
2,20,0.40119589977220954,random,5
3,30,0.4370728929384966,random,5
4,40,0.46212984054669703,random,5
5,50,0.47209567198177677,random,5
6,60,0.4874715261958998,random,5
7,70,0.494874715261959,random,5
8,80,0.49658314350797267,random,5
9,90,0.5284738041002278,random,5
10,100,0.5128132118451025,random,5
11,1,0.15034168564920272,uncertainty_sampling,5
12,10,0.34111617312072895,uncertainty_sampling,5
13,20,0.3929384965831435,uncertainty_sampling,5
14,30,0.4407744874715262,uncertainty_sampling,5
15,40,0.47864464692482916,uncertainty_sampling,5
16,50,0.49544419134396356,uncertainty_sampling,5
17,60,0.5037015945330297,uncertainty_sampling,5
18,70,0.5099658314350797,uncertainty_sampling,5
19,80,0.5213553530751709,uncertainty_sampling,5
20,90,0.5230637813211845,uncertainty_sampling,5
21,100,0.530751708428246,uncertainty_sampling,5
22,1,0.15802961275626423,entropy_sampling,5
23,10,0.3385535307517084,entropy_sampling,5
24,20,0.4222665148063781,entropy_sampling,5
25,30,0.44817767653758545,entropy_sampling,5
26,40,0.4772209567198178,entropy_sampling,5
27,50,0.4923120728929385,entropy_sampling,5
28,60,0.5059794988610479,entropy_sampling,5
29,70,0.5096810933940774,entropy_sampling,5
30,80,0.5242027334851936,entropy_sampling,5
31,90,0.5250569476082004,entropy_sampling,5
32,100,0.5264806378132119,entropy_sampling,5
33,1,0.15318906605922553,margin_sampling,5
34,10,0.34054669703872437,margin_sampling,5
35,20,0.4188496583143508,margin_sampling,5
36,30,0.446753986332574,margin_sampling,5
37,40,0.4581435079726651,margin_sampling,5
38,50,0.48177676537585423,margin_sampling,5
39,60,0.503132118451025,margin_sampling,5
40,70,0.5190774487471527,margin_sampling,5
41,80,0.5213553530751709,margin_sampling,5
42,90,0.5293280182232346,margin_sampling,5
43,100,0.5261958997722096,margin_sampling,5
0,1,0.16343963553530752,random,6
1,10,0.3428246013667426,random,6
2,20,0.40005694760820043,random,6
3,30,0.43109339407744873,random,6
4,40,0.44874715261959,random,6
5,50,0.47351936218678814,random,6
6,60,0.4755125284738041,random,6
7,70,0.48376993166287013,random,6
8,80,0.5096810933940774,random,6
9,90,0.49430523917995445,random,6
10,100,0.4908883826879271,random,6
11,1,0.16287015945330297,uncertainty_sampling,6
12,10,0.3180523917995444,uncertainty_sampling,6
13,20,0.39749430523917995,uncertainty_sampling,6
14,30,0.4319476082004556,uncertainty_sampling,6
15,40,0.45415717539863326,uncertainty_sampling,6
16,50,0.49003416856492027,uncertainty_sampling,6
17,60,0.5008542141230068,uncertainty_sampling,6
18,70,0.4988610478359909,uncertainty_sampling,6
19,80,0.5136674259681093,uncertainty_sampling,6
20,90,0.5227790432801822,uncertainty_sampling,6
21,100,0.518507972665148,uncertainty_sampling,6
22,1,0.16258542141230067,entropy_sampling,6
23,10,0.32801822323462415,entropy_sampling,6
24,20,0.3966400911161731,entropy_sampling,6
25,30,0.4291002277904328,entropy_sampling,6
26,40,0.46440774487471526,entropy_sampling,6
27,50,0.4911731207289294,entropy_sampling,6
